0,365.0,13.0,18.0,169.0,363.0,132.0,138.0,134.0,364.0,133.0,171.0,59.0,373.0,37.0,38.0,371.0,372.0,379.0,15.0,16.0,391.0,392.0,17.0,14.0,20.0,21.0,393.0,,,,,,,,,,,,,,,,,,,,,
1,58.0,135.0,136.0,137.0,19.0,377.0,378.0,172.0,376.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,139.0,375.0,170.0,12.0,144.0,530.0,11.0,145.0,163.0,158.0,149.0,151.0,157.0,159.0,148.0,146.0,147.0,155.0,154.0,165.0,161.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,164.0,374.0,370.0,390.0,381.0,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,386.0,382.0,383.0,384.0,385.0,162.0,387.0,388.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,153.0,380.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,150.0,531.0,532.0,505.0,511.0,520.0,518.0,519.0,524.0,515.0,516.0,517.0,509.0,510.0,512.0,513.0,521.0,522.0,523.0,514.0,508.0,527.0,525.0,526.0,506.0,507.0,545.0,566.0,583.0,584.0,582.0,551.0,540.0,554.0,555.0,552.0,550.0,556.0,548.0,547.0,362.0,28.0,361.0,536.0,539.0,533.0,528.0,27.0
7,562.0,529.0,559.0,534.0,560.0,561.0,538.0,565.0,544.0,542.0,543.0,581.0,557.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,546.0,585.0,601.0,569.0,567.0,595.0,596.0,568.0,563.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,602.0,553.0,549.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,541.0,570.0,575.0,579.0,576.0,577.0,578.0,571.0,572.0,573.0,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,537.0,597.0,598.0,599.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,603.0,535.0,211.0,213.0,214.0,141.0,212.0,55.0,54.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,56.0,227.0,221.0,226.0,219.0,220.0,31.0,32.0,218.0,216.0,217.0,3.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,142.0,143.0,222.0,223.0,224.0,225.0,4.0,215.0,399.0,229.0,230.0,297.0,293.0,294.0,295.0,313.0,314.0,401.0,395.0,394.0,396.0,188.0,398.0,167.0,312.0,302.0,308.0,305.0,309.0,306.0,303.0,310.0,166.0,51.0,311.0,400.0,52.0,397.0,,,,,,,,,,
15,201.0,33.0,34.0,307.0,296.0,315.0,298.0,299.0,300.0,324.0,42.0,40.0,323.0,330.0,301.0,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,187.0,168.0,503.0,189.0,196.0,193.0,197.0,192.0,190.0,195.0,331.0,327.0,326.0,325.0,36.0,44.0,46.0,199.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,304.0,39.0,191.0,504.0,200.0,406.0,404.0,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,407.0,198.0,50.0,202.0,194.0,233.0,317.0,291.0,318.0,287.0,290.0,207.0,205.0,206.0,292.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,285.0,286.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
